"Id";"Question_type";"Question"
1;"internal";"Have all Change requests followed SDLC before PROD move?"
2;"internal";"Have all Change requests been approved by the application owner?"
3;"internal";"Are all artifacts like CR document, Unit test cases available?"
4;"internal";"Is the SIT and UAT sign-off available?"
5;"internal";"Is data deletion from the system done with application owner approval?"
6;"sox";"Have all Change requests followed SDLC before PROD move?"
7;"sox";"Have all Change requests been approved by the application owner?"
8;"sox";"For a major change, was there a database backup taken before and after PROD move?"
9;"sox";"Has the application owner approval obtained while adding a user to the system?"
10;"sox";"Is data deletion from the system done with application owner approval?"
